case_id,category,ai_root_cause,ai_osi_layer,ai_confidence,ai_evidence,ai_next_command,ai_fix_steps,parse_status,raw_response
C001,VLAN,"Switchport Gi0/3 is assigned to VLAN 1 instead of VLAN 30, preventing the PC from accessing its gateway",Layer 2,high,show interfaces Gi0/3 switchport shows Access Mode VLAN: 1 (default),show running-config interface Gi0/3,interface Gi0/3 | switchport access vlan 30 | exit | write memory,ok,"{""root_cause"": ""Switchport Gi0/3 is assigned to VLAN 1 instead of VLAN 30, preventing the PC from accessing its gateway"", ""osi_layer"": ""Layer 2"", ""confidence"": 0.9, ""evidence"": ""show interfaces Gi0/3 switchport shows Access Mode VLAN: 1 (default)"", ""next_command"": ""show running-config interface Gi0/3"", ""fix_steps"": [""interface Gi0/3"", ""switchport access vlan 30"", ""exit"", ""write memory""], ""category"": ""VLAN""}"
C002,VLAN,"VLAN 20 is not allowed on the trunk link between the two switches, so traffic for VLAN 20 is dropped",Layer 2,high,"""show interfaces trunk"" shows Allowed VLANs: 1,10,40, missing VLAN 20",show interfaces Gi0/1 switchport,"Add VLAN 20 to the trunk: interface Gi0/1, switchport trunk allowed vlan add 20 | Verify VLAN 20 exists on both switches: show vlan brief | Confirm PCs are in VLAN 20 and can ping after trunk update",ok,"{""root_cause"": ""VLAN 20 is not allowed on the trunk link between the two switches, so traffic for VLAN 20 is dropped"", ""osi_layer"": ""Layer 2"", ""confidence"": 0.9, ""evidence"": ""\""show interfaces trunk\"" shows Allowed VLANs: 1,10,40, missing VLAN 20"", ""next_command"": ""show interfaces Gi0/1 switchport"", ""fix_steps"": [""Add VLAN 20 to the trunk: interface Gi0/1, switchport trunk allowed vlan add 20"", ""Verify VLAN 20 exists on both switches: show vlan brief"", ""Confirm PCs are in VLAN 20 and can ping after trunk update""], ""category"": ""VLAN""}"
C003,VLAN,"VTP is not propagating VLAN 60 to Switch B, likely because Switch A is in VTP transparent mode or the VTP domain/secret mismatch prevents the VLAN from being advertised.",Layer 2,medium,"show vlan brief on Switch B shows VLAN 60 not listed, indicating the VLAN was not learned or advertised.",show vtp status,"Verify Switch A is in VTP client mode: show vtp status | Ensure both switches share the same VTP domain name and password | If Switch A is transparent, change to client: vtp mode client | Reload Switch B after confirming VTP configuration to force VLAN propagation",ok,"{""root_cause"": ""VTP is not propagating VLAN 60 to Switch B, likely because Switch A is in VTP transparent mode or the VTP domain/secret mismatch prevents the VLAN from being advertised."", ""osi_layer"": ""Layer 2"", ""confidence"": 0.6, ""evidence"": ""show vlan brief on Switch B shows VLAN 60 not listed, indicating the VLAN was not learned or advertised."", ""next_command"": ""show vtp status"", ""fix_steps"": [""Verify Switch A is in VTP client mode: show vtp status"", ""Ensure both switches share the same VTP domain name and password"", ""If Switch A is transparent, change to client: vtp mode client"", ""Reload Switch B after confirming VTP configuration to force VLAN propagation""], ""category"": ""VLAN""}"
C004,VLAN,"Voice VLAN not configured on Gi0/7, so the IP phone cannot use VLAN 15 for registration",Layer 2,high,"show interfaces Gi0/7 switchport shows ""Voice VLAN: none"" indicating no voice VLAN assignment",show running-config interface Gi0/7,interface Gi0/7 | switchport voice vlan 15 | exit | write memory,ok,"{""root_cause"": ""Voice VLAN not configured on Gi0/7, so the IP phone cannot use VLAN 15 for registration"", ""osi_layer"": ""Layer 2"", ""confidence"": 0.9, ""evidence"": ""show interfaces Gi0/7 switchport shows \""Voice VLAN: none\"" indicating no voice VLAN assignment"", ""next_command"": ""show running-config interface Gi0/7"", ""fix_steps"": [""interface Gi0/7"", ""switchport voice vlan 15"", ""exit"", ""write memory""], ""category"": ""VLAN""}"
C005,Gateway,"VLAN10 SVI is administratively down, so the default gateway 192.168.10.1 is unreachable",Layer 3,high,"show ip interface brief shows Vlan10 is ""administratively down"" and ""down"", preventing gateway traffic",show running-config interface Vlan10,"Configure IP address on Vlan10: interface Vlan10
 ip address 192.168.10.1 255.255.255.0 | Enable the interface: no shutdown | Verify status: show ip interface brief",ok,"{""root_cause"": ""VLAN10 SVI is administratively down, so the default gateway 192.168.10.1 is unreachable"", ""osi_layer"": ""Layer 3"", ""confidence"": 0.9, ""evidence"": ""show ip interface brief shows Vlan10 is \""administratively down\"" and \""down\"", preventing gateway traffic"", ""next_command"": ""show running-config interface Vlan10"", ""fix_steps"": [""Configure IP address on Vlan10: interface Vlan10\r\n ip address 192.168.10.1 255.255.255.0"", ""Enable the interface: no shutdown"", ""Verify status: show ip interface brief""], ""category"": ""Gateway""}"
C006,Gateway,PC is configured with an incorrect default gateway (192.168.20.254) that does not match the switch's SVI IP (192.168.20.1).,Layer 3,high,PC ipconfig shows Default Gateway: 192.168.20.254 while the topology note states the SVI Vlan20 is up (implying its IP is 192.168.20.1).,show ip interface brief,Verify the SVI IP: show running-config interface Vlan20 | Set the PC’s default gateway to 192.168.20.1 | Confirm connectivity with ping from PC to 192.168.20.1,ok,"{""root_cause"": ""PC is configured with an incorrect default gateway (192.168.20.254) that does not match the switch's SVI IP (192.168.20.1)."", ""osi_layer"": ""Layer 3"", ""confidence"": 0.9, ""evidence"": ""PC ipconfig shows Default Gateway: 192.168.20.254 while the topology note states the SVI Vlan20 is up (implying its IP is 192.168.20.1)."", ""next_command"": ""show ip interface brief"", ""fix_steps"": [""Verify the SVI IP: show running-config interface Vlan20"", ""Set the PC\u2019s default gateway to 192.168.20.1"", ""Confirm connectivity with ping from PC to 192.168.20.1""], ""category"": ""Gateway""}"
C007,Gateway,"Duplicate IP address 192.168.30.1 assigned to two devices, causing ARP conflicts and intermittent gateway reachability",Layer 3,high,show ip arp shows two entries for 192.168.30.1 with different MAC addresses 0011.2222.3333 and 00aa.bbcc.ddee on Vlan30,show ip interface Vlan30,Identify the device with the duplicate IP and change its IP to a unique address | Remove the duplicate IP from the offending device | Clear the ARP cache on the PC: clear arp 192.168.30.1 | Verify connectivity with ping after changes,ok,"{""root_cause"": ""Duplicate IP address 192.168.30.1 assigned to two devices, causing ARP conflicts and intermittent gateway reachability"", ""osi_layer"": ""Layer 3"", ""confidence"": 0.9, ""evidence"": ""show ip arp shows two entries for 192.168.30.1 with different MAC addresses 0011.2222.3333 and 00aa.bbcc.ddee on Vlan30"", ""next_command"": ""show ip interface Vlan30"", ""fix_steps"": [""Identify the device with the duplicate IP and change its IP to a unique address"", ""Remove the duplicate IP from the offending device"", ""Clear the ARP cache on the PC: clear arp 192.168.30.1"", ""Verify connectivity with ping after changes""], ""category"": ""Gateway""}"
C008,Gateway,"VLAN 40 SVI is administratively down or missing, preventing gateway access for PCs on that subnet",Layer 3,high,show ip interface brief shows Vlan40 192.168.40.1 down down,show running-config interface Vlan40,"Check if interface is shutdown: interface Vlan40, no shutdown | Ensure VLAN 40 is defined: vlan 40 | Verify IP address and enable IP routing: ip address 192.168.40.1 255.255.255.0 | Reload or reapply configuration if needed | Confirm interface status with show ip interface brief",ok,"{""root_cause"": ""VLAN 40 SVI is administratively down or missing, preventing gateway access for PCs on that subnet"", ""osi_layer"": ""Layer 3"", ""confidence"": 0.9, ""evidence"": ""show ip interface brief shows Vlan40 192.168.40.1 down down"", ""next_command"": ""show running-config interface Vlan40"", ""fix_steps"": [""Check if interface is shutdown: interface Vlan40, no shutdown"", ""Ensure VLAN 40 is defined: vlan 40"", ""Verify IP address and enable IP routing: ip address 192.168.40.1 255.255.255.0"", ""Reload or reapply configuration if needed"", ""Confirm interface status with show ip interface brief""], ""category"": ""Gateway""}"
C009,DHCP,"Vlan30 interface lacks an IP helper-address, so DHCP broadcasts are not forwarded to the DHCP server on VLAN 10",Layer 3,high,"""show running-config interface Vlan30"" shows no ip helper-address configured",show ip interface Vlan30,"Add the helper: interface Vlan30, ip helper-address <DHCP_server_IP> | Verify the interface is up: show ip interface brief | Test DHCP assignment again on the PC",ok,"{""root_cause"": ""Vlan30 interface lacks an IP helper-address, so DHCP broadcasts are not forwarded to the DHCP server on VLAN 10"", ""osi_layer"": ""Layer 3"", ""confidence"": 0.9, ""evidence"": ""\""show running-config interface Vlan30\"" shows no ip helper-address configured"", ""next_command"": ""show ip interface Vlan30"", ""fix_steps"": [""Add the helper: interface Vlan30, ip helper-address <DHCP_server_IP>"", ""Verify the interface is up: show ip interface brief"", ""Test DHCP assignment again on the PC""], ""category"": ""DHCP""}"
C010,DHCP,"DHCP pool VLAN20 is exhausted; all 20 addresses are leased, so new PCs cannot obtain an IP",Layer 3,high,"show ip dhcp pool VLAN20 shows Total addresses: 20 and Leased: 20, indicating the pool is full",show ip dhcp binding,Increase the VLAN20 DHCP pool size: modify pool to include more addresses | Remove stale or unused bindings: no‑shutdown or delete‑binding commands | Verify new pool range with show ip dhcp pool VLAN20,ok,"{""root_cause"": ""DHCP pool VLAN20 is exhausted; all 20 addresses are leased, so new PCs cannot obtain an IP"", ""osi_layer"": ""Layer 3"", ""confidence"": 0.9, ""evidence"": ""show ip dhcp pool VLAN20 shows Total addresses: 20 and Leased: 20, indicating the pool is full"", ""next_command"": ""show ip dhcp binding"", ""fix_steps"": [""Increase the VLAN20 DHCP pool size: modify pool to include more addresses"", ""Remove stale or unused bindings: no\u2011shutdown or delete\u2011binding commands"", ""Verify new pool range with show ip dhcp pool VLAN20""], ""category"": ""DHCP""}"
